what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1486705463895
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1486705463895
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1486705463902
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1486705463917
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1486705463933
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1486705463933
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1486705463934
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1486705463951
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1486705463957
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1486705463968
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1486705463969
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1486705463969
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1486705463972
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1486705463988
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1486705464000
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1486705464001
os,sysinfo,,,"linux",1486705464009
arch,sysinfo,,,"x86_64",1486705464009
ws,sysinfo,,,"gtk",1486705464009
locale,sysinfo,,,"en_IN",1486705464009
processors,sysinfo,,,"4",1486705464009
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1486705464009
java.runtime.version,sysinfo,,,"1.7.0_95-b00",1486705464009
java.specification.name,sysinfo,,,"Java Platform API Specification",1486705464009
java.specification.vendor,sysinfo,,,"Oracle Corporation",1486705464009
java.specification.version,sysinfo,,,"1.7",1486705464009
java.vendor,sysinfo,,,"Oracle Corporation",1486705464009
java.version,sysinfo,,,"1.7.0_95",1486705464009
java.vm.info,sysinfo,,,"mixed mode",1486705464009
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1486705464009
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1486705464009
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1486705464009
java.vm.specification.version,sysinfo,,,"1.7",1486705464009
java.vm.vendor,sysinfo,,,"Oracle Corporation",1486705464009
java.vm.version,sysinfo,,,"24.95-b01",1486705464009
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486705475737
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1486705475753
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1486705481323
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1486705481324
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1486705482224
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1486705482944
