what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078759444
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078759726
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078760181
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078760487
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078760914
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078761238
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078761648
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078761961
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078762365
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078762635
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078763041
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078763310
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078772029
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078774021
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078774889
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078776930
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078791600
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078792654
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078809882
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078811440
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078820652
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078821616
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483078831982
