what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482217874594
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482217875619
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1482217879347
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1482217881029
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1482217897206
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1482217903340
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482217903796
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482217905691
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1482217907265
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1482217921026
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1482217921598
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1482217927004
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1482217927492
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1482217937390
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1482217938346
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1482217940044
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482217968979
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482217977533
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482217978064
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482217979805
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1482217986922
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1482217988789
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1482217995929
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1482217996338
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1482218024377
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1482218026007
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482218084692
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482218238702
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1482218357191
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1482218358986
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1482218360436
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1482218360437
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482218360738
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482218382013
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482218382946
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482218383357
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1482218386848
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1482218389914
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1482218393600
