what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270707842
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270713933
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270714795
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270721984
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270725928
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1488270728821
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1488270731629
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1488270734875
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270736983
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270738131
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270738828
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270739473
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270739945
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270744334
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1488270745892
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1488270754450
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1488270755827
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1488270758219
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1488270758982
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270763294
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270767105
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1488270771541
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1488270772534
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1488270773422
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270773803
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270781118
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488270849376
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488271407677
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488271410851
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488274766011
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488274766570
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488275802401
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1488275804463
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1488275804463
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488275809724
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488275811295
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488275816398
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488275832523
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1488275832714
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1488275832738
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488275832873
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488275838835
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488275844090
