what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1482232598323
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1482232598323
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1482232598324
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1482232598324
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1482232598325
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1482232598325
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1482232598326
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1482232598326
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1482232598348
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1482232598369
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1482232598388
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1482232598396
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1482232598412
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1482232598421
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1482232598422
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1482232598422
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1482232598446
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1482232598618
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1482232598633
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1482232598649
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1482232598651
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1482232598652
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1482232598667
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1482232598668
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1482232598684
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1482232598684
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1482232598685
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1482232598685
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1482232598693
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1482232598705
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1482232598705
os,sysinfo,,,"linux",1482232598708
arch,sysinfo,,,"x86_64",1482232598708
ws,sysinfo,,,"gtk",1482232598709
locale,sysinfo,,,"en_IN",1482232598709
processors,sysinfo,,,"4",1482232598709
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1482232598709
java.runtime.version,sysinfo,,,"1.7.0_95-b00",1482232598709
java.specification.name,sysinfo,,,"Java Platform API Specification",1482232598709
java.specification.vendor,sysinfo,,,"Oracle Corporation",1482232598709
java.specification.version,sysinfo,,,"1.7",1482232598709
java.vendor,sysinfo,,,"Oracle Corporation",1482232598709
java.version,sysinfo,,,"1.7.0_95",1482232598709
java.vm.info,sysinfo,,,"mixed mode",1482232598709
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1482232598709
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1482232598709
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1482232598709
java.vm.specification.version,sysinfo,,,"1.7",1482232598709
java.vm.vendor,sysinfo,,,"Oracle Corporation",1482232598709
java.vm.version,sysinfo,,,"24.95-b01",1482232598709
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1482232598806
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1482232598983
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1482232600492
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1482232600549
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1482232600598
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1482232600621
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1482232600636
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1482232600637
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1482232600638
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1482232600758
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1482232600789
